Paper,Ref,Serum/Plasma,#Subjects,Healthy/Unhealthy,Fasted/Fed,Analysis Technique,Units,CA,CDCA,DCA,UDCA,LCA,G-CA,G-CDCA,G-DCA,G-UDCA,G-LCA,T-CA,T-CDCA,T-DCA,T-UDCA,T-LCA,totalCA,totalCDCA,totalDCA,totalUDCA,totalLCA,Conjugated:Unconjugated,2nd:1st,Disease,Biliary/Hepato,Liver/Non-liver,NAFLD/NASH/Cirrhosis,Metabolic/HCC/Cholestatsis,Males,Females,Average Age,Extraction,Starting Volume,Protein Precipitation,Evaporation Technique,Reconstitution Solvent,Extraction Method,Derivitisation,Exact Analysis Technique,Publication Year,Value Type,Total Bilirubin (mg/dL),NOTES
In Search of an Accurate Evaluation of Intrahepatic Cholestasis of Pregnancy,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3820586/,Serum,15,Unhealthy,Fasted,Capillary Electrophoresis,uM,,,,,,,,,,,,,,,,1.1,1.3,5.6,10.8,0.6,,,Asymptomatic Hypercholanemia of Pregnancy,,,,,0,15,,2ml serum. Add 3ml acetonitrile. Vortex. 0.5g ammonium sulphate to SN. Organic phases evaporated and redissolved in 300ul acetonitrile. 6.7ml water added. 7ml volume passed through C18 Bakerbond cartridge condtioned with 4ml methanol and 5ml water. BAs eluted with 4ml methanol. Eluate evaporated to dryness and dissolved in 50ul 1mM sodium borate; 1mM sodium dihydrogen phosphate; pH 7.0 in 20% MeOH. ,2000,,,,,,Capillary Electrophoresis,2012,Arithmetic Mean,0.4,Capillary Electrophoresis: Mean; Asymptomatic Hypercholanemia of Pregnancy 
In Search of an Accurate Evaluation of Intrahepatic Cholestasis of Pregnancy,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3820586/,Serum,9,Unhealthy,Fasted,Capillary Electrophoresis,uM,,,,,,,,,,,,,,,,8.8,1.8,6,1.1,6.5,,,Intrahepatic Cholestasis Low,,Liver,Cholestasis,Cholestasis,0,9,31,2ml serum. Add 3ml acetonitrile. Vortex. 0.5g ammonium sulphate to SN. Organic phases evaporated and redissolved in 300ul acetonitrile. 6.7ml water added. 7ml volume passed through C18 Bakerbond cartridge condtioned with 4ml methanol and 5ml water. BAs eluted with 4ml methanol. Eluate evaporated to dryness and dissolved in 50ul 1mM sodium borate; 1mM sodium dihydrogen phosphate; pH 7.0 in 20% MeOH. ,2000,,,,,,Capillary Electrophoresis,2012,Arithmetic Mean,0.4,Capillary Electrophoresis: Mean; Intrahepatic Cholestasis Low (Pruritus score)
In Search of an Accurate Evaluation of Intrahepatic Cholestasis of Pregnancy,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3820586/,Serum,23,Unhealthy,Fasted,Capillary Electrophoresis,uM,,,,,,,,,,,,,,,,7.1,10.4,12,5.2,20.3,,,Intrahepatic Cholestasis High,,Liver,Cholestasis,Cholestasis,0,23,27,2ml serum. Add 3ml acetonitrile. Vortex. 0.5g ammonium sulphate to SN. Organic phases evaporated and redissolved in 300ul acetonitrile. 6.7ml water added. 7ml volume passed through C18 Bakerbond cartridge condtioned with 4ml methanol and 5ml water. BAs eluted with 4ml methanol. Eluate evaporated to dryness and dissolved in 50ul 1mM sodium borate; 1mM sodium dihydrogen phosphate; pH 7.0 in 20% MeOH. ,2000,,,,,,Capillary Electrophoresis,2012,Arithmetic Mean,0.83,Capillary Electrophoresis: Mean; Intrahepatic Cholestasis High (Pruritus score)
Individual bile acids in portal venous and systemic blood serum of fasting man,https://doi.org/10.1016/S0016-5085(19)31517-3,Serum,10,Unhealthy,Fasted,GC-MS,uM,,,,,,,,,,,,,,,,0.49,1.55,1.44,,,,,Cholelithiasis,,Non-Liver,,,3,7,61,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000,,,,,,GC-MS,1977,Arithmetic Mean,0.47,GC-MS: Mean; Cholelithiasis
Influence of Roux-en-Y gastric bypass on plasma bile acid profiles: a comparative study between rats; pigs and humans,https://doi.org/10.1038/ijo.2016.46,Plasma,7,Normal,Fasted,LC-MS,uM,0.23,0.254,0.335,0.0801,,0.177,0.602,0.17,0.102,0.0156,0.0359,0.0598,0.0275,,,0.4429,0.9158,0.5325,,,1.323323323,0.53742548,Pre-RYGB Surgery,,Non-Liver,,,1,6,29,50ul serum. 325ul 1/100 dilution IS solution. 225ul cold MeOH added for protein precipitation. Vortex. Kept at -20deg for 20mins; Centrifuge. SN dried in Savant speedvac concentrator. Reconsititute in 50ul MeOH:H20 50:50 v/v. Centrifuge,50,Methanol,Vacuum,Methanol:H2O,,,HPLC-MS/MS,2016,Arithmetic Mean,,HPLC-MS/MS: Mean;Pre RYGB surgery
Influence of Roux-en-Y gastric bypass on plasma bile acid profiles: a comparative study between rats; pigs and humans,https://doi.org/10.1038/ijo.2016.46,Plasma,7,Unhealthy,Fasted,LC-MS,uM,2.15,1.62,1.2,0.207,,0.212,0.619,0.232,0.0718,0.012,0.0227,0.0622,0.0311,,,2.3847,2.3012,1.4631,,,0.243925053,0.374293092,Post-RYGB Surgery,,Non-Liver,,,1,6,29,50ul serum. 325ul 1/100 dilution IS solution. 225ul cold MeOH added for protein precipitation. Vortex. Kept at -20deg for 20mins; Centrifuge. SN dried in Savant speedvac concentrator. Reconsititute in 50ul MeOH:H20 50:50 v/v. Centrifuge,50,Methanol,Vacuum,Methanol:H2O,,,HPLC-MS/MS,2016,Arithmetic Mean,,HPLC-MS/MS: Mean;Post RYGB surgery
Longitudinal Profiles of 15 Serum Bile Acids in Patients With Intrahepatic Cholestasis of Pregnancy,https://doi.org/10.1038/ajg.2009.633,Serum,50,Unhealthy,Fed,LC-MS,uM,0.6,0.14,0.1,0.015,0.01,3.7,1.9,0.85,0.12,0.022,6,2.3,0.7,0.13,0.022,10.3,4.34,1.65,0.265,0.054,18.20115607,0.134494536,Intrahepatic Cholestasis,,Liver,Cholestasis,Cholestasis,0,50,,100ul serum. 0.1M ammonia for pH13 and mixture heated to 64deg for 15min. 1ml Strata-X cartridges conditioned with 50:50 v/v 2-propanol: hexane: methanol and 94.9:5:0.1 v/v/v methanol/water/formic acid. Equilibrate with 1ml water; 1ml sample loaded. Washed with water and water/methanol 95:5. BAs eluted 94.9:5:0.1 methanol/water/formic acid and vacuum evaporated to dryness and reconstituted in 60:40 10mM ammonium formate/methanol.,100,Sodium Hydroxide,Vacuum,Ammonium Formate:Methanol,SPE,,HPLC-MS,2009,Median,,HPLC-MS: Median; Intrahepatic Cholestasis
Long-term effects of Roux en-Y gastric bypass on postprandial plasma lipid and bile acids kinetics in female non diabetic subjects: A cross-sectional pilot study.,https://doi.org/10.1016/j.clnu.2014.09.018,Plasma,11,Normal,Fed,GC-MS,uM,0.03,0,0.09,0.01,0,0.11,0.64,0.24,0.11,0.01,0.02,0.06,0.03,ND,0,0.16,0.7,0.36,0.12,0.01,9.384615385,0.569767442,Obese,,Healthy,Normal,Normal,0,11,33.4,,,,,,,,GC-MS,2015,Arithmetic Mean,,GC-MS: Mean; Healthy controls; 180 mins after meal ingestion
Long-term effects of Roux en-Y gastric bypass on postprandial plasma lipid and bile acids kinetics in female non diabetic subjects: A cross-sectional pilot study.,https://doi.org/10.1016/j.clnu.2014.09.018,Plasma,11,Unhealthy,Fed,GC-MS,uM,0.33,0.23,0.32,0.02,0,0.65,2.46,1.1,0.11,0.01,0.28,0.4,0.21,ND,0,1.26,3.09,1.63,0.13,0.01,5.8,0.406896552,,,,,,0,11,35.1,,,,,,,,GC-MS,2015,Arithmetic Mean,,GC-MS: Mean; RYGB patients; 60 mins after meal ingestion
Long-term effects of Roux en-Y gastric bypass on postprandial plasma lipid and bile acids kinetics in female non diabetic subjects: A cross-sectional pilot study.,https://doi.org/10.1016/j.clnu.2014.09.018,Plasma,11,Normal,Fed,GC-MS,uM,0.04,0.02,0.09,0.02,0,0.08,0.46,0.16,0.06,0.02,0.01,0.04,0.02,ND,0,0.13,0.52,0.27,0.08,0.02,5,0.569230769,Obese,,Healthy,Normal,Normal,0,11,33.4,,,,,,,,GC-MS,2015,Arithmetic Mean,,GC-MS: Mean; Healthy controls; 60 mins after meal ingestion
Long-term effects of Roux en-Y gastric bypass on postprandial plasma lipid and bile acids kinetics in female non diabetic subjects: A cross-sectional pilot study.,https://doi.org/10.1016/j.clnu.2014.09.018,Plasma,11,Normal,Fed,GC-MS,uM,0.37,0.01,0.09,0.02,0,0.09,0.63,0.2,0.12,0.01,0.01,0.07,0.03,ND,0,0.47,0.71,0.32,0.14,0.01,2.367346939,0.398305085,Obese,,Healthy,Normal,Normal,0,11,33.4,,,,,,,,GC-MS,2015,Arithmetic Mean,,GC-MS: Mean; Healthy controls; 120 mins after meal ingestion
Long-term effects of Roux en-Y gastric bypass on postprandial plasma lipid and bile acids kinetics in female non diabetic subjects: A cross-sectional pilot study.,https://doi.org/10.1016/j.clnu.2014.09.018,Plasma,11,Unhealthy,Fed,GC-MS,uM,0.36,0.28,0.38,0.02,0,0.14,1.07,0.36,0.07,0.01,0.02,0.07,0.03,ND,0,0.52,1.42,0.77,0.09,0.01,1.701923077,0.448453608,,,,,,0,11,35.1,,,,,,,,GC-MS,2015,Arithmetic Mean,,GC-MS: Mean; RYGB patients; 180 mins after meal ingestion
Long-term effects of Roux en-Y gastric bypass on postprandial plasma lipid and bile acids kinetics in female non diabetic subjects: A cross-sectional pilot study.,https://doi.org/10.1016/j.clnu.2014.09.018,Plasma,11,Unhealthy,Fasted,GC-MS,uM,0.35,0.16,0.26,0,0,0.14,0.75,0.24,0.07,0.01,0.02,0.03,0.02,ND,0,0.51,0.94,0.52,0.07,0.01,1.662337662,0.413793103,,,,,,0,11,35.1,,,,,,,,GC-MS,2015,Arithmetic Mean,,GC-MS: Mean; RYGB patients; Fasted
Long-term effects of Roux en-Y gastric bypass on postprandial plasma lipid and bile acids kinetics in female non diabetic subjects: A cross-sectional pilot study.,https://doi.org/10.1016/j.clnu.2014.09.018,Plasma,11,Normal,Fasted,GC-MS,uM,0.06,0.03,0.08,0.02,0,0.03,0.14,0.05,0.04,0,0,0,0,ND,0,0.09,0.17,0.13,0.06,0,1.368421053,0.730769231,Obese,,Healthy,Normal,Normal,0,11,33.4,,,,,,,,GC-MS,2015,Arithmetic Mean,,GC-MS: Mean; Healthy controls; Fasted
Long-term effects of Roux en-Y gastric bypass on postprandial plasma lipid and bile acids kinetics in female non diabetic subjects: A cross-sectional pilot study.,https://doi.org/10.1016/j.clnu.2014.09.018,Plasma,11,Unhealthy,Fed,GC-MS,uM,0.53,0.35,0.47,0.04,0,0.16,0.97,0.36,0.06,0.01,0.03,0.07,0.04,ND,0,0.72,1.39,0.87,0.1,0.01,1.223021583,0.464454976,,,,,,0,11,35.1,,,,,,,,GC-MS,2015,Arithmetic Mean,0.53,GC-MS: Mean; RYGB patients; 120 mins after meal ingestion
Metabolomic profiling of 17 bile acids in serum from patients with primary biliary cirrhosis and primary sclerosing cholangitis: A pilot study,https://doi.org/10.1016/j.dld.2011.10.025,Serum,12,Unhealthy,Fasted,LC-MS,nM,121.99,216.75,257.49,114.12,15.26,4519.37,6272.49,912.44,,32.66,8356.15,4084.59,164.19,27.21,8.39,12997.51,10573.83,1334.12,,56.31,33.59585728,0.064984002,Primary Biliary Cirrhosis,,Liver,,,0,12,54.4,100ul serum. 2ml 0.1% formic acid and 30ul internal standard. SPE columns condtioned with 1ml MeOH and 2ml 0.1% formic acid. Column washed with H2O and H2O:MeOH containing 0.1% formic acid. BAs eluted with 2ml MeOH. Evaporated at 45deg under N2 and reconstituted in 100ul H2O:MeOH (50:50) containing 5mM ammonium acetate and 0.01% formic acid. ,100,Formic Acid,N2,Methanol:H2O,SPE,,LC-MS/MS,2012,Arithmetic Mean,1.2,LC-MS/MS: Mean; Primary Biliary Cirrhosis
Metabolomic profiling of 17 bile acids in serum from patients with primary biliary cirrhosis and primary sclerosing cholangitis: A pilot study,https://doi.org/10.1016/j.dld.2011.10.025,Serum,6,Unhealthy,Fasted,LC-MS,nM,109.37,152.24,75.42,683.24,5.82,9104.3,6980.7,93.05,,9.68,3813.78,1372.71,28.07,34.67,4.43,13027.45,8505.65,196.54,,19.93,20.89620793,0.04339273,Primary Sclerosing Cholangitis,,Liver,Cholestasis,Cholestasis,5,1,37.7,100ul serum. 2ml 0.1% formic acid and 30ul internal standard. SPE columns condtioned with 1ml MeOH and 2ml 0.1% formic acid. Column washed with H2O and H2O:MeOH containing 0.1% formic acid. BAs eluted with 2ml MeOH. Evaporated at 45deg under N2 and reconstituted in 100ul H2O:MeOH (50:50) containing 5mM ammonium acetate and 0.01% formic acid. ,100,Formic Acid,N2,Methanol:H2O,SPE,,LC-MS/MS,2012,Arithmetic Mean,1.7,LC-MS/MS: Mean; Primary Sclerosing cholangitis
Metabolomic profiling of 17 bile acids in serum from patients with primary biliary cirrhosis and primary sclerosing cholangitis: A pilot study,https://doi.org/10.1016/j.dld.2011.10.025,Serum,30,Normal,Fasted,LC-MS,nM,99.41,176.7,345.43,93.08,16.78,190.2,748.93,296.13,,13.22,183.6,119.21,43.46,5.29,26.36,473.21,1044.84,685.02,,56.36,2.223680613,0.553176773,,,Healthy,Normal,Normal,27,3,44.2,100ul serum. 2ml 0.1% formic acid and 30ul internal standard. SPE columns condtioned with 1ml MeOH and 2ml 0.1% formic acid. Column washed with H2O and H2O:MeOH containing 0.1% formic acid. BAs eluted with 2ml MeOH. Evaporated at 45deg under N2 and reconstituted in 100ul H2O:MeOH (50:50) containing 5mM ammonium acetate and 0.01% formic acid. ,100,Formic Acid,N2,Methanol:H2O,SPE,,LC-MS/MS,2012,Arithmetic Mean,0.49,LC-MS/MS: Mean; Non-cholestatic control B.
Metabolomic profiling of 17 bile acids in serum from patients with primary biliary cirrhosis and primary sclerosing cholangitis: A pilot study,https://doi.org/10.1016/j.dld.2011.10.025,Serum,30,Normal,Fasted,LC-MS,nM,181.54,256.85,386.74,137.6,12.8,233.04,771.49,246.19,,16.28,179.7,120.17,44.91,5.01,23.38,594.28,1148.51,677.84,,52.46,1.681311697,0.500869296,,,Healthy,Normal,Normal,3,27,52.1,100ul serum. 2ml 0.1% formic acid and 30ul internal standard. SPE columns condtioned with 1ml MeOH and 2ml 0.1% formic acid. Column washed with H2O and H2O:MeOH containing 0.1% formic acid. BAs eluted with 2ml MeOH. Evaporated at 45deg under N2 and reconstituted in 100ul H2O:MeOH (50:50) containing 5mM ammonium acetate and 0.01% formic acid. ,100,Formic Acid,N2,Methanol:H2O,SPE,,LC-MS/MS,2012,Arithmetic Mean,0.53,LC-MS/MS: Mean; Non-cholestatic control A.
Metabolomic profiling of bile acids in clinical and experimental samples of Alzheimer’s disease.,https://doi.org/10.3390/metabo7020028,Plasma,10,Unknown,Unknown,LC-MS,nM,156,312.2,638,101,44,364,1118,831,170,42,87,184,106,,,607,1614.2,1575,,,2.319373402,0.869800108,Alzheimer's Disease,,Healthy,Normal,Normal,4,6,76.3,Biocrates Bile Acid Kit,,,,,,,UPLC-TQMS,2017,Arithmetic Mean,,UPLC-TQMS: Mean; Alzheimer's Disease; No check for comorbidities
Metabolomic profiling of bile acids in clinical and experimental samples of Alzheimer’s disease.,https://doi.org/10.3390/metabo7020028,Plasma,10,Unknown,Unknown,LC-MS,nM,947,2781,938,206,63,281,1218,625,141,42,39,147,60,,,1267,4146,1623,,,0.517325228,0.383336412,,,Healthy,Normal,Normal,5,5,77.6,Biocrates Bile Acid Kit,,,,,,,UPLC-TQMS,2017,Arithmetic Mean,,UPLC-TQMS: Mean; No Alzheimer's Disease; No check for comorbidities
Middle-distance running acutely influences the concentration and composition of serum bile acids: Potential implications for cancer risk?,https://doi.org/10.18632/oncotarget.17188,Serum,30,Unknown,Fasted,LC-MS,uM,0.06,0.12,0.1,0.01,0.01,0.15,0.71,0.17,0.06,,0.02,0.14,,,,0.23,0.97,,,,4.166666667,0.291666667,,,Healthy,Normal,Normal,21,9,45,500ul serum. 5ul IS. Mixed with 1000ul acetonitrile. Vortex. Centrifuge. SN transferred to autosampler,500,Acetonitrile,,,Direct Injection,,UPLC-TQMS,2017,Median,,UPLC-TQMS: Median; Post-exercise; No check for EHC diseases
Middle-distance running acutely influences the concentration and composition of serum bile acids: Potential implications for cancer risk?,https://doi.org/10.18632/oncotarget.17188,Serum,30,Unknown,Fasted,LC-MS,uM,0.16,0.39,0.32,0.05,0.01,0.2,0.71,0.22,0.06,,0.02,0.09,,,,0.38,1.19,,,,1.397849462,0.420382166,,,Healthy,Normal,Normal,21,9,45,500ul serum. 5ul IS. Mixed with 1000ul acetonitrile. Vortex. Centrifuge. SN transferred to autosampler,500,Acetonitrile,,,Direct Injection,,UPLC-TQMS,2017,Median,,UPLC-TQMS: Median; Pre-exercise; No check for EHC diseases
NASH-related increases in plasma bile acid levels depend on insulin resistance,https://doi.org/10.1016/j.jhepr.2020.100222,Plasma,17,Unhealthy,Fasted,LC-MS,nM,205,452,417,91,13,671,1382,405,138,17,134,224,106,11,3.7,1010,2058,928,240,33.7,2.624533107,0.391688396,NASH,,Liver,NASH,Metabolic,5,12,38.2,50ul serum. 325ul 1/100 dilution IS solution. 225ul cold MeOH added for protein precipitation. Vortex. Kept at -20deg for 20mins; Centrifuge. SN dried in Savant speedvac concentrator. Reconsititute in 50ul MeOH:H20 50:50 v/v. Centrifuge,50,Methanol,Vacuum,Methanol:H2O,,,HPLC-MS/MS,2020,Arithmetic Mean,,HPLC-MS/MS: Mean; No-T2D; NASH
NASH-related increases in plasma bile acid levels depend on insulin resistance,https://doi.org/10.1016/j.jhepr.2020.100222,Plasma,58,Unhealthy,Fasted,LC-MS,nM,266,608,371,153,14,641,1497,271,236,11,178,296,75,19,2.2,1085,2401,717,408,27.2,2.284844193,0.330522088,T2D NASH,,Liver,NASH,Metabolic,21,37,49.3,50ul serum. 325ul 1/100 dilution IS solution. 225ul cold MeOH added for protein precipitation. Vortex. Kept at -20deg for 20mins; Centrifuge. SN dried in Savant speedvac concentrator. Reconsititute in 50ul MeOH:H20 50:50 v/v. Centrifuge,50,Methanol,Vacuum,Methanol:H2O,,,HPLC-MS/MS,2020,Arithmetic Mean,,HPLC-MS/MS: Mean; T2D; NASH
NASH-related increases in plasma bile acid levels depend on insulin resistance,https://doi.org/10.1016/j.jhepr.2020.100222,Plasma,85,Normal,Fasted,LC-MS,nM,141,245,220,85,9,201,611,154,114,8,54,120,53,10,1.6,396,976,427,209,18.6,1.895142857,0.477113703,,,Healthy,Normal,Normal,28,57,38.5,50ul serum. 325ul 1/100 dilution IS solution. 225ul cold MeOH added for protein precipitation. Vortex. Kept at -20deg for 20mins; Centrifuge. SN dried in Savant speedvac concentrator. Reconsititute in 50ul MeOH:H20 50:50 v/v. Centrifuge,50,Methanol,Vacuum,Methanol:H2O,,,HPLC-MS/MS,2020,Arithmetic Mean,,HPLC-MS/MS: Mean; No-T2D; No NASH
NASH-related increases in plasma bile acid levels depend on insulin resistance,https://doi.org/10.1016/j.jhepr.2020.100222,Plasma,59,Normal,Fasted,LC-MS,nM,114,334,258,98,10,150,598,144,103,9,24,72,39,5,1.4,288,1004,441,206,20.4,1.407125307,0.516563467,T2D,,Healthy,Normal,Normal,20,39,47.1,50ul serum. 325ul 1/100 dilution IS solution. 225ul cold MeOH added for protein precipitation. Vortex. Kept at -20deg for 20mins; Centrifuge. SN dried in Savant speedvac concentrator. Reconsititute in 50ul MeOH:H20 50:50 v/v. Centrifuge,50,Methanol,Vacuum,Methanol:H2O,,,HPLC-MS/MS,2020,Arithmetic Mean,,HPLC-MS/MS: Mean; T2D; No NASH
Portal venous bile acids in cholesterol gallstone disease: Effect of treatment with chenodeoxycholic and cholic acids.,https://doi.org/10.1002/hep.1840050423,Serum,9,Unhealthy,Fasted,GC-MS,uM,,,,,,,,,,,,,,,,0.6,0.93,0.75,,,,,Adenomyoma of Gallbladder,,Non-Liver,,,1,8,52,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000,,,,,,GC-MS,1985,Arithmetic Mean,,GC-MS: Mean;  Adenomyoma of Gallbladder no gallstones
Portal venous bile acids in cholesterol gallstone disease: Effect of treatment with chenodeoxycholic and cholic acids.,https://doi.org/10.1002/hep.1840050423,Serum,20,Unhealthy,Fasted,GC-MS,uM,,,,,,,,,,,,,,,,0.52,1.33,0.9,,,,,Cholelithiasis,,Non-Liver,,,8,12,56,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000,,,,,,GC-MS,1985,Arithmetic Mean,,GC-MS: Mean; Cholelithiasis
Postprandial Plasma Concentrations of Individual Bile Acids and FGF-19 in Patients With Type 2 Diabetes,https://doi.org/10.1210/jc.2016-1607,Plasma,15,Normal,Fasted,LC-MS,uM,0.06,0.07,0.1,0,,0.1,0.28,0.1,0,,0,0.02,0,0,,0.13,0.38,0.2,0.03,,2.173913043,0.377358491,,,Healthy,Normal,Normal,9,6,59.7,50ul diluted with IS and 500ul acetonitrile. Centrifuge; dry under N2 and reconstitute in 100ul MeOH:H2O (1:3). Injected in UPLC column. BAs separated using gradient from 98% 5mM ammoniumformate:methanol (3:1) to 98% acetonitrile:H2O (9:1 v:v). Waters Quattro Premier XE  ,50,Acetonitrile,N2,Methanol:H2O,,,UPLC-MS/MS,2016,Median,,UPLC-MS/MS: Median; Normal Glucose Tolerant
Postprandial Plasma Concentrations of Individual Bile Acids and FGF-19 in Patients With Type 2 Diabetes,https://doi.org/10.1210/jc.2016-1607,Plasma,15,Normal,Fasted,LC-MS,uM,0.07,0.07,0.31,0.04,,0.12,0.31,0.17,0.03,,0.03,0.07,0.03,0,,0.22,0.45,0.51,0.07,,1.551020408,0.865671642,T2D,,,,,9,6,59.4,50ul diluted with IS and 500ul acetonitrile. Centrifuge; dry under N2 and reconstitute in 100ul MeOH:H2O (1:3). Injected in UPLC column. BAs separated using gradient from 98% 5mM ammoniumformate:methanol (3:1) to 98% acetonitrile:H2O (9:1 v:v). Waters Quattro Premier XE  ,50,Acetonitrile,N2,Methanol:H2O,,,UPLC-MS/MS,2016,Median,,UPLC-MS/MS: Median; T2D
Postprandial serum bile acids in healthy man. Evidence for differences in absorptive pattern between individual bile acids.,https://doi.org/10.1136/gut.18.8.606,Serum,5,Normal,Fasted,GC-MS,uM,,,,,,,,,,,,,,,,0.46,1.06,1.22,,,,,,,Healthy,Normal,Normal,0,5,33,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000,,,,,,GC-MS,1977,Arithmetic Mean,,GC-MS: Mean; Before standardized meal
Postprandial serum bile acids in healthy man. Evidence for differences in absorptive pattern between individual bile acids.,https://doi.org/10.1136/gut.18.8.607,Serum,5,Normal,Fed,GC-MS,uM,,,,,,,,,,,,,,,,0.56,2.15,1.92,,,,,,,Healthy,Normal,Normal,0,5,33,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000,,,,,,GC-MS,1977,Arithmetic Mean,,GC-MS: Mean; 30 mins after standardized meal
Postprandial serum bile acids in healthy man. Evidence for differences in absorptive pattern between individual bile acids.,https://doi.org/10.1136/gut.18.8.608,Serum,5,Normal,Fed,GC-MS,uM,,,,,,,,,,,,,,,,0.74,2.44,1.91,,,,,,,Healthy,Normal,Normal,0,5,33,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000,,,,,,GC-MS,1977,Arithmetic Mean,,GC-MS: Mean; 60 mins after standardized meal
Postprandial serum bile acids in healthy man. Evidence for differences in absorptive pattern between individual bile acids.,https://doi.org/10.1136/gut.18.8.609,Serum,5,Normal,Fed,GC-MS,uM,,,,,,,,,,,,,,,,1.01,3.04,2.24,,,,,,,Healthy,Normal,Normal,0,5,33,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000,,,,,,GC-MS,1977,Arithmetic Mean,,GC-MS: Mean; 90 mins after standardized meal
Postprandial serum bile acids in healthy man. Evidence for differences in absorptive pattern between individual bile acids.,https://doi.org/10.1136/gut.18.8.610,Serum,5,Normal,Fed,GC-MS,uM,,,,,,,,,,,,,,,,0.72,2.41,2.01,,,,,,,Healthy,Normal,Normal,0,5,33,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000,,,,,,GC-MS,1977,Arithmetic Mean,,GC-MS: Mean; 120 mins after standardized meal
Postprandial serum bile acids in healthy man. Evidence for differences in absorptive pattern between individual bile acids.,https://doi.org/10.1136/gut.18.8.611,Serum,5,Normal,Fed,GC-MS,uM,,,,,,,,,,,,,,,,0.57,1.8,1.65,,,,,,,Healthy,Normal,Normal,0,5,33,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000,,,,,,GC-MS,1977,Arithmetic Mean,,GC-MS: Mean; 150 mins after standardized meal
Postprandial serum concentration of individual bile acids in man. Influence of ileal resection.,https://doi.org/10.3109/00365528209181093,Serum,10,Normal,Fasted,GC-MS,uM,,,,,,,,,,,,,,,,0.34,0.98,,,,,,,,Healthy,Normal,Normal,4,6,33,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000,,,,,,GC-MS,1982,Arithmetic Mean,,GC-MS: Mean; Fasting; Healthy Control
Postprandial serum concentration of individual bile acids in man. Influence of ileal resection.,https://doi.org/10.3109/00365528209181093,Serum,10,Normal,Fed,GC-MS,uM,,,,,,,,,,,,,,,,0.42,1.24,,,,,,,,Healthy,Normal,Normal,4,6,33,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000,,,,,,GC-MS,1982,Arithmetic Mean,,GC-MS: Mean; 15 mins after meal; Healthy Control
