,Paper,Ref,Serum/Plasma,#Subjects,Healthy/Unhealthy,Fasted/Fed,Analysis Technique,Units,CA,CDCA,DCA,UDCA,LCA,G-CA,G-CDCA,G-DCA,G-UDCA,G-LCA,T-CA,T-CDCA,T-DCA,T-UDCA,T-LCA,totalCA,totalCDCA,totalDCA,totalUDCA,totalLCA,Conjugated:Unconjugated,2nd:1st,Disease,Biliary/Hepato,Liver/Non-liver,NAFLD/NASH/Cirrhosis,Metabolic/HCC/Cholestatsis,Males,Females,Average Age,Extraction,Starting Volume,Protein Precipitation,Evaporation Technique,Reconstitution Solvent,Extraction Method,Derivitisation,Exact Analysis Technique,Publication Year,Value Type,Total Bilirubin (mg/dL),NOTES,Number of Patients
74,Divergent effects of resistance and endurance exercise on plasma bile acids; FGF19; and FGF21 in humans,https://doi.org/10.1172/jci.insight.122737,Serum,10,Normal,Fasted,LC-MS,uM,210.0,360.0,140.0,60.0,30.0,100.0,470.0,130.0,30.0,,120.0,80.0,,,,420.0,900.0,270.0,100.0,,1.1625,0.291044776,,,Healthy,Normal,Normal,10.0,0.0,24.0,150ul plasma with 10ul IS. 525ul ice-cold LC-MS MeOH added. Centrifuge. SN dried via speed vacuum. Samples resuspended in 50ul 95/5  5nM ammonium acetate with 0.1% formic acid/0.1% formic acid in acetonitrile.  ,150.0,Methanol,Vacuum,Ammonium Acetate:Formic Acid:Acetonitrile,,,LC-MS,2018,Arithmetic Mean,,LC-MS: Arithmetic Mean; 60 mins after Endurance Exercise,10.0
75,Divergent effects of resistance and endurance exercise on plasma bile acids; FGF19; and FGF21 in humans,https://doi.org/10.1172/jci.insight.122737,Serum,10,Normal,Fasted,LC-MS,uM,40.0,120.0,100.0,40.0,20.0,90.0,290.0,80.0,20.0,,90.0,70.0,,,,230.0,490.0,180.0,60.0,,2.0,0.371428571,,,Healthy,Normal,Normal,10.0,0.0,24.0,150ul plasma with 10ul IS. 525ul ice-cold LC-MS MeOH added. Centrifuge. SN dried via speed vacuum. Samples resuspended in 50ul 95/5  5nM ammonium acetate with 0.1% formic acid/0.1% formic acid in acetonitrile.  ,150.0,Methanol,Vacuum,Ammonium Acetate:Formic Acid:Acetonitrile,,,LC-MS,2018,Arithmetic Mean,,LC-MS: Arithmetic Mean; 180 mins after Endurance Exercise,10.0
76,Divergent effects of resistance and endurance exercise on plasma bile acids; FGF19; and FGF21 in humans,https://doi.org/10.1172/jci.insight.122737,Serum,10,Normal,Fasted,LC-MS,uM,650.0,640.0,130.0,160.0,10.0,160.0,170.0,170.0,120.0,,20.0,150.0,,,,830.0,960.0,300.0,270.0,,0.496855346,0.329608939,,,Healthy,Normal,Normal,10.0,0.0,24.0,150ul plasma with 10ul IS. 525ul ice-cold LC-MS MeOH added. Centrifuge. SN dried via speed vacuum. Samples resuspended in 50ul 95/5  5nM ammonium acetate with 0.1% formic acid/0.1% formic acid in acetonitrile.  ,150.0,Methanol,Vacuum,Ammonium Acetate:Formic Acid:Acetonitrile,,,LC-MS,2018,Arithmetic Mean,,LC-MS: Arithmetic Mean; Before  Resistance Exercise,10.0
77,Divergent effects of resistance and endurance exercise on plasma bile acids; FGF19; and FGF21 in humans,https://doi.org/10.1172/jci.insight.122737,Serum,10,Normal,Fasted,LC-MS,uM,430.0,430.0,100.0,90.0,20.0,130.0,250.0,120.0,50.0,,20.0,130.0,,,,580.0,800.0,220.0,140.0,,0.654205607,0.273381295,,,Healthy,Normal,Normal,10.0,0.0,24.0,150ul plasma with 10ul IS. 525ul ice-cold LC-MS MeOH added. Centrifuge. SN dried via speed vacuum. Samples resuspended in 50ul 95/5  5nM ammonium acetate with 0.1% formic acid/0.1% formic acid in acetonitrile.  ,150.0,Methanol,Vacuum,Ammonium Acetate:Formic Acid:Acetonitrile,,,LC-MS,2018,Arithmetic Mean,,LC-MS: Arithmetic Mean; After Resistance Exercise,10.0
78,Divergent effects of resistance and endurance exercise on plasma bile acids; FGF19; and FGF21 in humans,https://doi.org/10.1172/jci.insight.122737,Serum,10,Normal,Fasted,LC-MS,uM,200.0,290.0,150.0,50.0,30.0,130.0,340.0,120.0,20.0,,140.0,80.0,,,,470.0,700.0,270.0,80.0,,1.152777778,0.313559322,,,Healthy,Normal,Normal,10.0,0.0,24.0,150ul plasma with 10ul IS. 525ul ice-cold LC-MS MeOH added. Centrifuge. SN dried via speed vacuum. Samples resuspended in 50ul 95/5  5nM ammonium acetate with 0.1% formic acid/0.1% formic acid in acetonitrile.  ,150.0,Methanol,Vacuum,Ammonium Acetate:Formic Acid:Acetonitrile,,,LC-MS,2018,Arithmetic Mean,,LC-MS: Arithmetic Mean; 60 mins after Resistance Exercise,10.0
79,Divergent effects of resistance and endurance exercise on plasma bile acids; FGF19; and FGF21 in humans,https://doi.org/10.1172/jci.insight.122737,Serum,10,Normal,Fasted,LC-MS,uM,200.0,310.0,140.0,50.0,30.0,100.0,300.0,80.0,20.0,,90.0,70.0,,,,400.0,680.0,220.0,60.0,,0.904109589,0.299065421,,,Healthy,Normal,Normal,10.0,0.0,24.0,150ul plasma with 10ul IS. 525ul ice-cold LC-MS MeOH added. Centrifuge. SN dried via speed vacuum. Samples resuspended in 50ul 95/5  5nM ammonium acetate with 0.1% formic acid/0.1% formic acid in acetonitrile.  ,150.0,Methanol,Vacuum,Ammonium Acetate:Formic Acid:Acetonitrile,,,LC-MS,2018,Arithmetic Mean,,LC-MS: Arithmetic Mean; 180 mins after Resistance Exercise,10.0
80,Early Increases in Bile Acids Post Roux-en-Y Gastric Bypass Are Driven by Insulin-Sensitizing; Secondary Bile Acids,https://doi.org/10.1210/jc.2015-2467,Plasma,20,Normal,Fasted,LC-MS,nM,35.02,49.77,104.83,31.96,,,,106.21,48.05,,,,,0.3608,,,,,80.3708,,0.697810272,3.436853403,,,Healthy,Normal,Normal,3.0,18.0,,50ul plasma. 200ul 100nM NaOH and 50ul IS. Heated to 64deg for 30min. Centrifuge. SN acidified to pH 7 with 50ul 0.1M hydrochloric acid. Bring to final volume 1ml water. Added to colum equilibrated with 1ml MeOH; 1ml H2O. BAs washed with 1ml 5% aqueous methanol; 1ml 2% aq formic acid. BAs eluted with 1ml 2% ammonia in methanol. Evaporated to dryness using a rotary evaporator at 30deg for 2h. Resuspended in 100ul 25% acetonitrile in H2O,50.0,Sodium Hydroxide,Vacuum,Acetonitrile:H2O,SPE,,UPLC-ESI-MS,2015,Arithmetic Mean,,UPLC-ESI-MS: Mean; Pre Surgery,21.0
81,Early Increases in Bile Acids Post Roux-en-Y Gastric Bypass Are Driven by Insulin-Sensitizing; Secondary Bile Acids,https://doi.org/10.1210/jc.2015-2467,Plasma,20,Unhealthy,Fasted,LC-MS,nM,36.73,61.43,149.66,110.5,,,,68.37,327.63,,,,,1.73,,,,,,,1.109985488,6.702220864,,,,,,3.0,18.0,,50ul plasma. 200ul 100nM NaOH and 50ul IS. Heated to 64deg for 30min. Centrifuge. SN acidified to pH 7 with 50ul 0.1M hydrochloric acid. Bring to final volume 1ml water. Added to colum equilibrated with 1ml MeOH; 1ml H2O. BAs washed with 1ml 5% aqueous methanol; 1ml 2% aq formic acid. BAs eluted with 1ml 2% ammonia in methanol. Evaporated to dryness using a rotary evaporator at 30deg for 2h. Resuspended in 100ul 25% acetonitrile in H2O,50.0,Sodium Hydroxide,Vacuum,Acetonitrile:H2O,SPE,,UPLC-ESI-MS,2015,Arithmetic Mean,,UPLC-ESI-MS: Mean; 1 mo post RYGB,21.0
82,Early Increases in Bile Acids Post Roux-en-Y Gastric Bypass Are Driven by Insulin-Sensitizing; Secondary Bile Acids,https://doi.org/10.1210/jc.2015-2467,Plasma,20,Unhealthy,Fasted,LC-MS,nM,42.17,57.34,146.94,32.42,,,,121.43,134.7,,,,,0.65,,,,,,,0.920787464,4.382876093,,,,,,3.0,18.0,,50ul plasma. 200ul 100nM NaOH and 50ul IS. Heated to 64deg for 30min. Centrifuge. SN acidified to pH 7 with 50ul 0.1M hydrochloric acid. Bring to final volume 1ml water. Added to colum equilibrated with 1ml MeOH; 1ml H2O. BAs washed with 1ml 5% aqueous methanol; 1ml 2% aq formic acid. BAs eluted with 1ml 2% ammonia in methanol. Evaporated to dryness using a rotary evaporator at 30deg for 2h. Resuspended in 100ul 25% acetonitrile in H2O,50.0,Sodium Hydroxide,Vacuum,Acetonitrile:H2O,SPE,,UPLC-ESI-MS,2015,Arithmetic Mean,,UPLC-ESI-MS: Mean; 6 mo post RYGB,21.0
83,Early Increases in Bile Acids Post Roux-en-Y Gastric Bypass Are Driven by Insulin-Sensitizing; Secondary Bile Acids,https://doi.org/10.1210/jc.2015-2467,Plasma,20,Unhealthy,Fasted,LC-MS,nM,31.29,116.72,155.1,6.85,,,,191.84,31.96,,,,,0.46,,,,,,,0.723512711,2.60935072,,,,,,3.0,18.0,,50ul plasma. 200ul 100nM NaOH and 50ul IS. Heated to 64deg for 30min. Centrifuge. SN acidified to pH 7 with 50ul 0.1M hydrochloric acid. Bring to final volume 1ml water. Added to colum equilibrated with 1ml MeOH; 1ml H2O. BAs washed with 1ml 5% aqueous methanol; 1ml 2% aq formic acid. BAs eluted with 1ml 2% ammonia in methanol. Evaporated to dryness using a rotary evaporator at 30deg for 2h. Resuspended in 100ul 25% acetonitrile in H2O,50.0,Sodium Hydroxide,Vacuum,Acetonitrile:H2O,SPE,,UPLC-ESI-MS,2015,Arithmetic Mean,,UPLC-ESI-MS: Mean; 12 mo post RYGB,21.0
84,Early Increases in Bile Acids Post Roux-en-Y Gastric Bypass Are Driven by Insulin-Sensitizing; Secondary Bile Acids,https://doi.org/10.1210/jc.2015-2467,Plasma,20,Unhealthy,Fasted,LC-MS,nM,144.22,258.02,269.39,26.48,,,,214.29,38.81,,,,,0.43,,,,,,,0.363166263,1.365851233,,,,,,3.0,18.0,,50ul plasma. 200ul 100nM NaOH and 50ul IS. Heated to 64deg for 30min. Centrifuge. SN acidified to pH 7 with 50ul 0.1M hydrochloric acid. Bring to final volume 1ml water. Added to colum equilibrated with 1ml MeOH; 1ml H2O. BAs washed with 1ml 5% aqueous methanol; 1ml 2% aq formic acid. BAs eluted with 1ml 2% ammonia in methanol. Evaporated to dryness using a rotary evaporator at 30deg for 2h. Resuspended in 100ul 25% acetonitrile in H2O,50.0,Sodium Hydroxide,Vacuum,Acetonitrile:H2O,SPE,,UPLC-ESI-MS,2015,Arithmetic Mean,,UPLC-ESI-MS: Mean; 24 mo post RYGB,21.0
85,Efficacy of bile acid profiles in diagnosing and staging of alcoholic liver disease.,https://doi.org/10.1080/00365513.2022.2151508,Serum,40,Unhealthy,Fasted,LC-MS,nM,1397.6,3365.4,507.8,4867.1,131.7,10051.0,29792.3,1061.3,25009.1,186.1,3521.2,8592.3,256.4,3997.6,72.5,14969.8,41750.0,1825.5,33873.8,390.3,8.037294539,0.636278689,Cirrhosis,,Liver,Cirrhosis,Metabolic,40.0,0.0,55.9,50ul serum. 150ul MeOH acetonitrile 50% added. Vortex. -20deg for 30min. Centrifuge. 100ul SN collected for analysis,100.0,Methanol:Acetonitrile,N2,,,,UHPLC-TQ-TOFMS,2022,Arithmetic Mean,3.85,UHPLC-TQ-TOFMS: Mean; Cirrhosis,40.0
86,Efficacy of bile acid profiles in diagnosing and staging of alcoholic liver disease.,https://doi.org/10.1080/00365513.2022.2151508,Serum,45,Unhealthy,Fasted,LC-MS,nM,352.6,726.0,193.5,143.8,10.4,1151.8,3713.6,176.3,262.4,10.2,334.2,1053.1,45.6,12.1,3.6,1838.6,5492.7,415.4,418.3,24.2,4.741569095,0.11701881,ALD,,Liver,,,45.0,0.0,52.6,50ul serum. 150ul MeOH acetonitrile 50% added. Vortex. -20deg for 30min. Centrifuge. 100ul SN collected for analysis,100.0,Methanol:Acetonitrile,N2,,,,UHPLC-TQ-TOFMS,2022,Arithmetic Mean,1.12,UHPLC-TQ-TOFMS: Mean; ALD,45.0
87,Efficacy of bile acid profiles in diagnosing and staging of alcoholic liver disease.,https://doi.org/10.1080/00365513.2022.2151508,Serum,42,Unhealthy,Fasted,LC-MS,nM,214.9,461.1,390.3,108.7,19.8,468.2,1090.5,305.1,115.6,22.4,125.8,290.8,57.0,10.0,4.6,808.9,1842.4,752.4,234.3,46.8,2.0840308,0.389808773,Viral Liver Disease,,Liver,,,16.0,26.0,48.1,50ul serum. 150ul MeOH acetonitrile 50% added. Vortex. -20deg for 30min. Centrifuge. 100ul SN collected for analysis,100.0,Methanol:Acetonitrile,N2,,,,UHPLC-TQ-TOFMS,2022,Arithmetic Mean,0.96,UHPLC-TQ-TOFMS: Mean; Viral Liver Disease,42.0
88,Efficacy of bile acid profiles in diagnosing and staging of alcoholic liver disease.,https://doi.org/10.1080/00365513.2022.2151508,Serum,40,Normal,Fasted,LC-MS,nM,98.5,243.0,273.7,61.2,12.4,166.2,609.6,192.2,85.1,10.0,17.8,56.9,22.6,3.8,2.6,282.5,909.5,488.5,150.1,25.0,1.693960511,0.556711409,,,Healthy,Normal,Normal,19.0,21.0,39.0,50ul serum. 150ul MeOH acetonitrile 50% added. Vortex. -20deg for 30min. Centrifuge. 100ul SN collected for analysis,100.0,Methanol:Acetonitrile,N2,,,,UHPLC-TQ-TOFMS,2022,Arithmetic Mean,0.95,UHPLC-TQ-TOFMS: Mean; Healthy,40.0
89,Efficacy of bile acid profiles in diagnosing and staging of alcoholic liver disease.,https://doi.org/10.1080/00365513.2022.2151508,Serum,41,Unhealthy,Fasted,LC-MS,nM,285.2,658.7,211.9,121.9,6.5,282.7,862.5,65.8,84.1,4.7,48.3,97.1,12.1,4.3,2.5,616.2,1618.3,289.8,210.3,13.7,1.140087214,0.229939584,NAFLD,,Liver,NAFLD,Metabolic,19.0,22.0,39.8,50ul serum. 150ul MeOH acetonitrile 50% added. Vortex. -20deg for 30min. Centrifuge. 100ul SN collected for analysis,100.0,Methanol:Acetonitrile,N2,,,,UHPLC-TQ-TOFMS,2022,Arithmetic Mean,1.04,UHPLC-TQ-TOFMS: Mean; NAFLD,41.0
90,Elevated hepatic fatty acid oxidation; high plasma fibroblast growth factor 21; and fasting bile acids in nonalcoholic steatohepatitis,https://doi.org/10.1097/MEG.0b013e328345c8c7,Plasma,38,Normal,Fasted,LC-MS,ng/ml,,,,,,0.5798969072164949,,,,,0.09695559433779329,0.4002401440864519,,,,,,,,,,,,,Healthy,Normal,Normal,,,,250ul plasma mixed with 800ul acetonitrile. Vortex and centrifuge. SN blown to dryness with N2. Reconstituted in 125ul methanol and 125ul water.,250.0,Acetonitrile,N2,Methanol:H2O,,,HPLC-MS/MS,2011,Arithmetic Mean,,HPLC-MS/MS: Mean,
91,Elevated hepatic fatty acid oxidation; high plasma fibroblast growth factor 21; and fasting bile acids in nonalcoholic steatohepatitis,https://doi.org/10.1097/MEG.0b013e328345c8c7,Plasma,36,Unhealthy,Fasted,LC-MS,ng/ml,,,,,,2.663230240549828,,,,,0.4459957339538491,1.5609365619371625,,,,,,,,,,,,,Liver,NASH,Metabolic,,,,250ul plasma mixed with 800ul acetonitrile. Vortex and centrifuge. SN blown to dryness with N2. Reconstituted in 125ul methanol and 125ul water.,250.0,Acetonitrile,N2,Methanol:H2O,,,HPLC-MS/MS,2011,Arithmetic Mean,,HPLC-MS/MS: Mean; NASH,
92,Exercise training and diet-induced weight loss increase markers of hepatic bile acid (BA) synthesis and reduce serum total BA concentrations in obese women,https://doi.org/10.1152/ajpendo.00644.2020,Serum,11,Normal,Fasted,LC-MS,uM,20.0,70.0,140.0,10.0,,120.0,350.0,120.0,40.0,,10.0,30.0,20.0,2.0,,150.0,450.0,280.0,52.0,,2.883333333,0.553333333,Obese,,Healthy,Normal,Normal,0.0,11.0,,50ul serum. 325ul 1/100 dilution IS solution. 225ul cold MeOH added for protein precipitation. Vortex. Kept at -20deg for 20mins; Centrifuge. SN dried in Savant speedvac concentrator. Reconsititute in 50ul MeOH:H20 50:50 v/v. Centrifuge,50.0,Methanol,Vacuum,Methanol:H2O,,,UPLC-MS,2021,Median,,UPLC-MS: Median; Pre-exercise intervention,11.0
93,Exercise training and diet-induced weight loss increase markers of hepatic bile acid (BA) synthesis and reduce serum total BA concentrations in obese women,https://doi.org/10.1152/ajpendo.00644.2020,Serum,11,Normal,Fasted,LC-MS,uM,30.0,60.0,110.0,10.0,,80.0,320.0,60.0,30.0,,10.0,30.0,10.0,1.0,,120.0,410.0,180.0,41.0,,2.576190476,0.416981132,Obese,,Healthy,Normal,Normal,0.0,11.0,,50ul serum. 325ul 1/100 dilution IS solution. 225ul cold MeOH added for protein precipitation. Vortex. Kept at -20deg for 20mins; Centrifuge. SN dried in Savant speedvac concentrator. Reconsititute in 50ul MeOH:H20 50:50 v/v. Centrifuge,50.0,Methanol,Vacuum,Methanol:H2O,,,UPLC-MS,2021,Median,,UPLC-MS: Median; Post-exercise intervention,11.0
94,Fasting serum bile acids concentration is associated with insulin resistance independently of diabetes status ,https://doi.org/10.1515/cclm-2018-0741,Serum,75,Normal,Fasted,LC-MS,uM,98.7,266.0,283.0,56.2,21.8,150.0,770.0,210.0,81.5,8.9,19.5,62.5,22.9,9.5,3.7,268.2,1098.5,515.9,147.2,34.4,1.844426071,0.510353406,,,Healthy,Normal,Normal,28.0,47.0,33.0,10ul serum added to 10ul IS mixture. Nitrogen drying. 100ul MeOH. Centrifuge to elute MeOH extract. 60ul deionized H2O to extract.,10.0,,,Methanol:H2O,,,HPLC-MS/MS,2019,Median,,HPLC-MS/MS: Median; Normal,75.0
95,Fasting serum bile acids concentration is associated with insulin resistance independently of diabetes status ,https://doi.org/10.1515/cclm-2018-0741,Serum,71,Normal,Fasted,LC-MS,uM,71.7,170.0,274.0,38.800000000000004,21.1,102.0,487.0,119.0,58.0,7.1000000000000005,28.8,58.3,21.8,9.2,3.8,202.5,715.3000000000001,414.8,106.0,32.0,1.554899236,0.602309871,,,Healthy,Normal,Normal,43.0,28.0,55.0,10ul serum added to 10ul IS mixture. Nitrogen drying. 100ul MeOH. Centrifuge to elute MeOH extract. 60ul deionized H2O to extract.,10.0,,,Methanol:H2O,,,HPLC-MS/MS,2019,Median,,HPLC-MS/MS: Median; T2DM,71.0
96,Fasting serum bile acids concentration is associated with insulin resistance independently of diabetes status ,https://doi.org/10.1515/cclm-2018-0741,Serum,95,Normal,Fasted,LC-MS,uM,90.5,204.0,292.0,46.5,15.4,113.0,488.0,165.0,65.4,7.6,19.900000000000002,50.6,18.2,10.5,3.5,223.39999999999998,742.6,475.2,122.39999999999999,26.5,1.452344232,0.646066253,,,Healthy,Normal,Normal,40.0,55.0,55.0,10ul serum added to 10ul IS mixture. Nitrogen drying. 100ul MeOH. Centrifuge to elute MeOH extract. 60ul deionized H2O to extract.,10.0,,,Methanol:H2O,,,HPLC-MS/MS,2019,Median,,HPLC-MS/MS: Median; Impaired fasting glucose,95.0
97,Fasting Serum Taurine-Conjugated Bile Acids Are Elevated in Type 2 Diabetes and Do Not Change With Intensification of Insulin,https://doi.org/10.1210/jc.2013-3367,Serum,12,Normal,Fasted,LC-MS,uM,99.0,,,223.0,,664.0,,,150.0,,213.0,,,14.0,,976.0,,,,,3.232919255,0.396516393,T2D,,Healthy,Normal,Normal,4.0,8.0,49.0,50ul serum. 50ul IS and 400ul acetonitrile. Centrifugation. Dried. Reconstituted in 400ul methanol and 200ul H2O.,50.0,Acetonitrile,,Methanol:H2O,,,HPLC-MS/MS,2014,Arithmetic Mean,,HPLC-MS/MS: Mean; T2D; Fasted,12.0
98,Fasting Serum Taurine-Conjugated Bile Acids Are Elevated in Type 2 Diabetes and Do Not Change With Intensification of Insulin,https://doi.org/10.1210/jc.2013-3367,Serum,62,Normal,Fed,LC-MS,uM,75.0,,,150.0,,257.0,,,88.0,,24.0,,,0.3,,356.0,,,,,1.641333333,0.669382022,,,Healthy,Normal,Normal,28.0,34.0,40.0,50ul serum. 50ul IS and 400ul acetonitrile. Centrifugation. Dried. Reconstituted in 400ul methanol and 200ul H2O.,50.0,Acetonitrile,,Methanol:H2O,,,HPLC-MS/MS,2014,Arithmetic Mean,,HPLC-MS/MS: Mean; Healthy Control; Fed,62.0
99,Fasting Serum Taurine-Conjugated Bile Acids Are Elevated in Type 2 Diabetes and Do Not Change With Intensification of Insulin,https://doi.org/10.1210/jc.2013-3367,Serum,25,Normal,Fed,LC-MS,uM,167.0,,,143.0,,233.0,,,85.0,,31.0,,,2.0,,431.0,,,,,1.132258065,0.533642691,IGT,,Healthy,Normal,Normal,6.0,19.0,45.0,50ul serum. 50ul IS and 400ul acetonitrile. Centrifugation. Dried. Reconstituted in 400ul methanol and 200ul H2O.,50.0,Acetonitrile,,Methanol:H2O,,,HPLC-MS/MS,2014,Arithmetic Mean,,HPLC-MS/MS: Mean; IGT; Fed,25.0
100,Fasting Serum Taurine-Conjugated Bile Acids Are Elevated in Type 2 Diabetes and Do Not Change With Intensification of Insulin,https://doi.org/10.1210/jc.2013-3367,Serum,12,Normal,Fed,LC-MS,uM,567.0,,,188.0,,592.0,,,77.0,,131.0,,,3.0,,1290.0,,,,,1.063576159,0.207751938,T2D,,Healthy,Normal,Normal,4.0,8.0,49.0,50ul serum. 50ul IS and 400ul acetonitrile. Centrifugation. Dried. Reconstituted in 400ul methanol and 200ul H2O.,50.0,Acetonitrile,,Methanol:H2O,,,HPLC-MS/MS,2014,Arithmetic Mean,,HPLC-MS/MS: Mean; T2D; Fed,12.0
101,Fasting Serum Taurine-Conjugated Bile Acids Are Elevated in Type 2 Diabetes and Do Not Change With Intensification of Insulin,https://doi.org/10.1210/jc.2013-3367,Serum,62,Normal,Fasted,LC-MS,uM,161.0,,,193.0,,168.0,,,112.0,,36.0,,,2.0,,365.0,,,,,0.898305085,0.84109589,,,Healthy,Normal,Normal,28.0,34.0,40.0,50ul serum. 50ul IS and 400ul acetonitrile. Centrifugation. Dried. Reconstituted in 400ul methanol and 200ul H2O.,50.0,Acetonitrile,,Methanol:H2O,,,HPLC-MS/MS,2014,Arithmetic Mean,,HPLC-MS/MS: Mean; Healthy Control; Fasted,62.0
102,Fasting Serum Taurine-Conjugated Bile Acids Are Elevated in Type 2 Diabetes and Do Not Change With Intensification of Insulin,https://doi.org/10.1210/jc.2013-3367,Serum,25,Normal,Fasted,LC-MS,uM,270.0,,,193.0,,209.0,,,127.0,,48.0,,,6.0,,527.0,,,,,0.842332613,0.618595825,IGT,,Healthy,Normal,Normal,6.0,19.0,45.0,50ul serum. 50ul IS and 400ul acetonitrile. Centrifugation. Dried. Reconstituted in 400ul methanol and 200ul H2O.,50.0,Acetonitrile,,Methanol:H2O,,,HPLC-MS/MS,2014,Arithmetic Mean,,HPLC-MS/MS: Mean; IGT; Fasted,25.0
103,Hepatic Uptake of Bile Acids in Man,https://doi.org/10.1172/JCI110668,Serum,5,Unhealthy,Fasted,GC-MS,uM,,,,,,,,,,,,,,,,610.0,640.0,1190.0,,,,,Cholecystectomised,,Non-Liver,,,1.0,4.0,62.0,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000.0,,,,,,GC-MS,1982,Arithmetic Mean,,GC-MS: Arithmetic Mean,5.0
104,Human insulin resistance is associated with increased plasma levels of 12-alpha hydroxylated bile acids.,https://doi.org/10.2337/db13-0639,Plasma,35,Normal,Fasted,LC-MS,uM,40.0,170.0,330.0,50.0,10.0,150.0,570.0,190.0,,,40.0,60.0,30.0,,,230.0,800.0,550.0,,,1.733333333,0.59223301,T2D,,Healthy,Normal,Normal,17.0,18.0,53.0,100ul plasma. Spiked with 10ul IS. Mixed with 1ml ice-cold acetonitrile. Vortex. Centrifuge. SN dried at 45deg under N2. Reconstitute in 100ul 55/45 MeOH/H2O; containing 5mM ammonium formate,100.0,Acetonitrile,N2,Methanol:H2O,,,HPLC-MS,2013,Arithmetic Mean,,HPLC-MS: Mean; T2D,35.0
105,Human insulin resistance is associated with increased plasma levels of 12-alpha hydroxylated bile acids.,https://doi.org/10.2337/db13-0639,Plasma,200,Normal,Fasted,LC-MS,uM,50.0,90.0,200.0,20.0,10.0,80.0,310.0,100.0,,,10.0,30.0,20.0,,,140.0,430.0,320.0,,,1.486486486,0.614035088,,,Healthy,Normal,Normal,97.0,103.0,46.0,100ul plasma. Spiked with 10ul IS. Mixed with 1ml ice-cold acetonitrile. Vortex. Centrifuge. SN dried at 45deg under N2. Reconstitute in 100ul 55/45 MeOH/H2O; containing 5mM ammonium formate,100.0,Acetonitrile,N2,Methanol:H2O,,,HPLC-MS,2013,Arithmetic Mean,,HPLC-MS,200.0
106,In Search of an Accurate Evaluation of Intrahepatic Cholestasis of Pregnancy,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3820586/,Serum,23,Normal,Fasted,Capillary Electrophoresis,uM,,,,,,,,,,,,,,,,400.0,750.0,1900.0,3100.0,340.0,,,,,,Normal,Normal,0.0,23.0,,2ml serum. Add 3ml acetonitrile. Vortex. 0.5g ammonium sulphate to SN. Organic phases evaporated and redissolved in 300ul acetonitrile. 6.7ml water added. 7ml volume passed through C18 Bakerbond cartridge condtioned with 4ml methanol and 5ml water. BAs eluted with 4ml methanol. Eluate evaporated to dryness and dissolved in 50ul 1mM sodium borate; 1mM sodium dihydrogen phosphate; pH 7.0 in 20% MeOH. ,2000.0,,,,,,Capillary Electrophoresis,2012,Arithmetic Mean,,Capillary Electrophoresis: Mean; Healthy Control,23.0
107,In Search of an Accurate Evaluation of Intrahepatic Cholestasis of Pregnancy,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3820586/,Serum,15,Unhealthy,Fasted,Capillary Electrophoresis,uM,,,,,,,,,,,,,,,,1100.0,1300.0,5600.0,10800.0,600.0,,,Asymptomatic Hypercholanemia of Pregnancy,,,,,0.0,15.0,,2ml serum. Add 3ml acetonitrile. Vortex. 0.5g ammonium sulphate to SN. Organic phases evaporated and redissolved in 300ul acetonitrile. 6.7ml water added. 7ml volume passed through C18 Bakerbond cartridge condtioned with 4ml methanol and 5ml water. BAs eluted with 4ml methanol. Eluate evaporated to dryness and dissolved in 50ul 1mM sodium borate; 1mM sodium dihydrogen phosphate; pH 7.0 in 20% MeOH. ,2000.0,,,,,,Capillary Electrophoresis,2012,Arithmetic Mean,0.4,Capillary Electrophoresis: Mean; Asymptomatic Hypercholanemia of Pregnancy ,15.0
108,In Search of an Accurate Evaluation of Intrahepatic Cholestasis of Pregnancy,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3820586/,Serum,9,Unhealthy,Fasted,Capillary Electrophoresis,uM,,,,,,,,,,,,,,,,8800.0,1800.0,6000.0,1100.0,6500.0,,,Intrahepatic Cholestasis Low,,Liver,Cholestasis,Cholestasis,0.0,9.0,31.0,2ml serum. Add 3ml acetonitrile. Vortex. 0.5g ammonium sulphate to SN. Organic phases evaporated and redissolved in 300ul acetonitrile. 6.7ml water added. 7ml volume passed through C18 Bakerbond cartridge condtioned with 4ml methanol and 5ml water. BAs eluted with 4ml methanol. Eluate evaporated to dryness and dissolved in 50ul 1mM sodium borate; 1mM sodium dihydrogen phosphate; pH 7.0 in 20% MeOH. ,2000.0,,,,,,Capillary Electrophoresis,2012,Arithmetic Mean,0.4,Capillary Electrophoresis: Mean; Intrahepatic Cholestasis Low (Pruritus score),9.0
